Activity_Type,Movement_Speed_ms,Crowd_Density,Temperature_C,Pilgrim_Age_Group,Pilgrim_Experience,Time_of_Day,Time_Spent_min,Pilgrim_Group_Size,Phone_Battery_Pct,Risk_Level
Tawaf,0.521,High,41.6,40_to_60,Experienced,Night,86.0,48,70,Low
Sai,1.064,Low,40.7,Above_60,First-Time,Morning,74.3,27,66,Low
Walking,0.733,High,42.0,Under_40,First-Time,Afternoon,6.8,20,44,Low
Tawaf,0.782,High,45.4,40_to_60,First-Time,Morning,83.4,29,47,Medium
Walking,1.04,High,38.2,40_to_60,First-Time,Noon,15.5,47,66,Low
Resting,0.006,Medium,45.7,Above_60,First-Time,Maghrib,40.2,23,8,Medium
Resting,0.287,High,42.3,40_to_60,Experienced,Fajr,19.8,46,62,Low
Walking,1.043,Low,40.5,40_to_60,First-Time,Afternoon,23.6,15,93,Low
Tawaf,0.375,Low,42.7,40_to_60,Experienced,Noon,88.2,34,95,Low
Resting,0.023,High,46.7,40_to_60,First-Time,Afternoon,34.5,29,76,High
Walking,0.716,Medium,46.7,40_to_60,First-Time,Morning,15.4,35,30,Medium
Tawaf,0.612,High,43.6,40_to_60,Experienced,Morning,44.3,21,43,Low
Tawaf,0.608,High,44.5,Above_60,First-Time,Afternoon,64.3,30,28,High
Resting,0.083,High,42.2,40_to_60,First-Time,Afternoon,106.5,10,29,Medium
Walking,0.812,Medium,39.7,40_to_60,First-Time,Maghrib,8.3,15,24,Low
Resting,0.064,High,43.8,40_to_60,First-Time,Morning,46.3,5,46,Medium
Resting,0.015,High,40.2,40_to_60,Experienced,Fajr,32.3,17,73,Low
Walking,0.862,High,37.9,40_to_60,First-Time,Night,10.7,20,10,Low
Walking,0.743,Low,40.3,40_to_60,Experienced,Morning,8.2,15,97,Low
Prayer,0.054,High,35.4,40_to_60,Experienced,Noon,22.7,26,47,Medium
Prayer,0.095,Low,37.0,Above_60,First-Time,Noon,10.9,40,86,Low
Prayer,0.014,High,50.1,Under_40,First-Time,Morning,24.6,36,31,High
Walking,0.501,Medium,46.5,Above_60,Experienced,Afternoon,8.6,7,53,Medium
Walking,0.554,High,41.0,40_to_60,First-Time,Night,11.7,31,58,Low
Resting,0.139,Medium,44.1,40_to_60,First-Time,Morning,51.3,20,49,Medium
Prayer,0.071,High,38.2,Under_40,Experienced,Afternoon,17.6,41,50,Low
Walking,0.907,Medium,44.6,Above_60,First-Time,Noon,9.3,31,78,Medium
Walking,0.846,Low,43.0,40_to_60,Experienced,Night,17.2,39,53,Low
Walking,0.748,High,39.2,40_to_60,First-Time,Morning,27.4,6,47,Low
Walking,0.717,Low,40.7,40_to_60,Experienced,Morning,16.5,22,21,Low
Sai,1.063,High,40.4,40_to_60,Experienced,Morning,46.3,29,68,Low
Walking,0.928,Medium,45.4,Above_60,First-Time,Noon,14.1,40,38,Medium
Tawaf,0.384,Medium,41.7,Above_60,First-Time,Afternoon,54.2,23,7,Medium
Prayer,0.077,Medium,35.7,40_to_60,First-Time,Afternoon,15.7,46,86,Low
Walking,0.903,Low,40.2,40_to_60,First-Time,Afternoon,12.4,29,84,Low
Walking,0.688,Medium,38.9,40_to_60,Experienced,Night,10.0,43,70,Low
Resting,0.15,Low,36.1,40_to_60,Experienced,Noon,115.5,25,53,Low
Walking,1.174,Low,39.0,40_to_60,Experienced,Maghrib,18.2,42,40,Low
Walking,0.514,Low,33.4,Above_60,Experienced,Morning,18.4,44,89,Low
Walking,0.64,Medium,38.3,Above_60,Experienced,Afternoon,15.6,16,35,Low
Walking,0.814,High,42.8,40_to_60,Experienced,Night,20.4,33,21,Low
Tawaf,0.619,Medium,43.8,Under_40,Experienced,Night,55.4,11,54,Low
Sai,0.949,High,44.0,Above_60,First-Time,Maghrib,76.0,33,87,Medium
Prayer,0.093,Medium,45.8,40_to_60,Experienced,Night,11.8,36,85,Low
Walking,0.95,Medium,46.8,Above_60,Experienced,Afternoon,5.7,15,36,Medium
Tawaf,0.739,High,37.9,40_to_60,First-Time,Night,63.7,41,78,Low
Tawaf,0.465,High,36.5,Under_40,Experienced,Night,74.0,19,71,Low
Prayer,0.083,High,42.2,40_to_60,First-Time,Morning,23.4,30,42,Medium
Resting,0.113,Low,44.2,Above_60,First-Time,Noon,56.9,6,86,High
Prayer,0.025,High,38.7,Under_40,First-Time,Noon,10.1,33,96,Medium
Walking,1.138,High,43.1,Above_60,First-Time,Fajr,8.0,8,75,Low
Sai,0.865,Low,49.3,40_to_60,First-Time,Noon,62.6,38,52,Medium
Walking,1.16,High,36.7,Under_40,Experienced,Morning,21.6,39,74,Low
Prayer,0.046,Low,42.0,40_to_60,Experienced,Fajr,16.2,14,58,Low
Sai,1.495,Low,46.2,Under_40,Experienced,Noon,68.9,38,49,Medium
Walking,0.878,Low,41.2,Under_40,Experienced,Morning,9.4,28,14,Low
Tawaf,0.679,High,43.7,Above_60,First-Time,Night,40.2,44,6,Medium
Tawaf,0.304,High,45.6,40_to_60,First-Time,Maghrib,74.6,34,88,High
Sai,1.148,High,40.8,40_to_60,Experienced,Night,64.7,9,23,Low
Tawaf,0.669,High,37.8,Under_40,Experienced,Night,86.9,9,63,Low
Tawaf,0.691,High,41.6,Under_40,Experienced,Maghrib,42.7,14,79,Low
Prayer,0.016,Medium,37.6,Above_60,First-Time,Afternoon,19.0,39,74,Low
Walking,0.793,Low,39.8,40_to_60,First-Time,Fajr,9.7,15,27,Low
Walking,0.793,Medium,43.8,Under_40,Experienced,Morning,11.4,21,79,Low
Walking,0.573,Low,42.7,40_to_60,Experienced,Maghrib,21.0,49,97,Low
Prayer,0.044,High,46.0,Above_60,First-Time,Noon,28.2,5,61,High
Resting,0.242,Medium,42.9,Above_60,First-Time,Noon,28.5,40,33,Medium
Prayer,0.03,Medium,38.9,40_to_60,First-Time,Morning,12.6,10,20,Low
Tawaf,0.516,High,38.0,Above_60,First-Time,Fajr,87.1,34,21,Medium
Walking,1.173,Low,44.5,40_to_60,First-Time,Morning,23.4,39,39,Medium
Tawaf,0.316,Low,43.0,Under_40,Experienced,Maghrib,48.8,17,53,Low
Prayer,0.059,Low,41.2,Above_60,Experienced,Afternoon,18.1,5,41,Low
Walking,1.02,Low,43.4,Above_60,Experienced,Noon,24.7,27,23,Low
Resting,0.228,Medium,39.2,40_to_60,Experienced,Fajr,88.4,17,88,Low
Walking,1.001,Medium,32.2,40_to_60,Experienced,Morning,20.2,38,73,Low
Walking,1.009,Medium,46.2,40_to_60,First-Time,Noon,26.6,47,7,Medium
Resting,0.018,High,44.6,Above_60,First-Time,Morning,47.8,20,75,High
Tawaf,0.567,Medium,41.7,40_to_60,First-Time,Maghrib,42.7,15,55,Low
Prayer,0.078,Low,38.4,40_to_60,Experienced,Maghrib,18.2,31,29,Low
Prayer,0.009,Low,41.1,Under_40,Experienced,Morning,10.1,33,98,Low
Prayer,0.001,High,35.1,40_to_60,First-Time,Maghrib,20.1,5,55,Medium
Prayer,0.081,Low,42.5,Above_60,First-Time,Afternoon,17.3,26,47,Medium
Resting,0.214,Low,34.3,40_to_60,First-Time,Night,28.9,45,84,Low
Walking,0.789,Low,42.4,Above_60,First-Time,Maghrib,26.9,29,13,Low
Walking,1.158,Medium,39.2,Above_60,First-Time,Afternoon,9.9,11,89,Low
Prayer,0.077,Medium,41.4,Above_60,Experienced,Afternoon,24.1,25,56,Low
Resting,0.29,High,37.4,Above_60,First-Time,Morning,89.1,30,48,Medium
Resting,0.279,High,48.0,40_to_60,Experienced,Night,19.5,22,16,Medium
Resting,0.144,Medium,43.4,Above_60,First-Time,Afternoon,59.9,37,18,Medium
Tawaf,0.677,Medium,39.2,40_to_60,First-Time,Afternoon,58.6,28,43,Low
Walking,0.968,Low,41.3,40_to_60,First-Time,Afternoon,25.4,14,6,Low
Tawaf,0.706,Low,48.4,Above_60,Experienced,Morning,67.5,17,66,Medium
Sai,1.351,Low,38.2,Above_60,First-Time,Maghrib,47.8,35,57,Low
Tawaf,0.377,Low,37.6,40_to_60,Experienced,Night,56.9,22,32,Low
Walking,0.664,Low,37.4,40_to_60,First-Time,Morning,12.5,15,55,Low
Walking,0.686,Low,39.3,40_to_60,Experienced,Noon,9.3,36,28,Low
Tawaf,0.709,High,48.0,40_to_60,First-Time,Morning,46.6,25,55,Medium
Prayer,0.081,High,39.8,40_to_60,First-Time,Morning,26.8,45,87,Medium
Prayer,0.05,Medium,40.3,Above_60,First-Time,Noon,22.4,30,18,Low
Prayer,0.058,High,42.8,Above_60,First-Time,Night,18.7,50,23,Medium
Tawaf,0.713,Medium,41.9,40_to_60,First-Time,Afternoon,73.2,12,42,Low
Prayer,0.031,High,45.9,40_to_60,First-Time,Afternoon,29.4,21,27,High
Walking,0.535,Medium,45.3,Under_40,Experienced,Night,28.2,40,50,Low
Tawaf,0.541,High,43.3,Above_60,Experienced,Maghrib,35.8,26,20,Low
Tawaf,0.757,Low,41.1,Under_40,First-Time,Fajr,49.9,13,75,Low
Prayer,0.079,High,45.8,Above_60,Experienced,Morning,16.3,49,21,Medium
Resting,0.11,High,38.9,40_to_60,Experienced,Morning,73.2,9,34,Low
Walking,0.545,Low,38.6,Under_40,Experienced,Noon,7.3,18,12,Low
Walking,0.946,Low,40.4,Above_60,First-Time,Maghrib,28.0,49,42,Low
Prayer,0.083,Medium,46.6,40_to_60,First-Time,Maghrib,25.7,15,64,Medium
Walking,0.965,Low,38.7,40_to_60,First-Time,Morning,8.1,35,15,Low
Tawaf,0.513,High,39.6,40_to_60,First-Time,Afternoon,45.3,11,57,Medium
Walking,0.586,Low,42.7,40_to_60,Experienced,Morning,8.6,43,43,Low
Resting,0.273,Medium,41.8,Under_40,First-Time,Morning,65.2,47,33,Low
Walking,0.693,Low,40.5,40_to_60,Experienced,Morning,27.3,25,53,Low
Resting,0.067,Medium,43.9,Under_40,First-Time,Night,82.7,48,66,Low
Walking,1.071,Low,40.1,40_to_60,First-Time,Noon,20.1,33,69,Low
Tawaf,0.791,High,46.2,Under_40,Experienced,Night,34.5,15,33,Medium
Resting,0.198,High,42.9,40_to_60,First-Time,Maghrib,110.2,42,78,Medium
Tawaf,0.612,High,46.1,40_to_60,First-Time,Maghrib,46.8,17,76,High
Walking,0.724,High,38.8,Above_60,First-Time,Maghrib,27.5,48,35,Low
Tawaf,0.31,High,41.4,Under_40,First-Time,Fajr,57.2,44,84,Medium
Tawaf,0.396,High,34.4,Above_60,Experienced,Maghrib,61.7,47,10,Medium
Prayer,0.058,High,47.3,40_to_60,First-Time,Morning,22.1,29,82,High
Prayer,0.015,High,51.2,Above_60,First-Time,Night,15.8,40,99,High
Walking,1.119,High,40.8,Under_40,Experienced,Maghrib,25.9,41,55,Low
Walking,0.632,Low,43.5,Above_60,First-Time,Night,29.0,34,18,Low
Tawaf,0.561,Medium,42.5,Above_60,First-Time,Night,47.0,32,20,Low
Tawaf,0.556,High,36.8,Under_40,First-Time,Noon,30.0,8,45,Medium
Walking,0.923,High,47.0,40_to_60,First-Time,Night,18.1,45,88,Medium
Prayer,0.033,High,40.9,40_to_60,First-Time,Noon,21.9,24,46,Medium
Walking,1.111,High,33.8,40_to_60,First-Time,Afternoon,6.6,16,26,Low
Walking,0.811,High,39.1,40_to_60,First-Time,Maghrib,21.8,50,98,Low
Resting,0.21,Medium,36.4,40_to_60,First-Time,Noon,45.7,17,46,Low
Walking,0.945,High,42.5,40_to_60,First-Time,Morning,29.0,30,48,Low
Prayer,0.012,High,42.5,40_to_60,Experienced,Night,25.6,42,87,Medium
Walking,0.936,High,46.7,Under_40,Experienced,Morning,6.8,40,84,Low
Prayer,0.055,High,49.3,Under_40,First-Time,Noon,29.1,27,81,High
Prayer,0.09,High,49.6,40_to_60,Experienced,Afternoon,14.5,46,64,High
Walking,1.117,Medium,37.9,40_to_60,First-Time,Maghrib,25.0,24,74,Low
Prayer,0.015,High,44.5,40_to_60,First-Time,Night,22.9,47,100,High
Walking,0.557,Low,45.2,Above_60,First-Time,Afternoon,18.4,7,62,Medium
Resting,0.088,High,39.9,40_to_60,First-Time,Afternoon,112.9,15,51,Medium
Resting,0.296,Medium,43.1,40_to_60,First-Time,Night,78.6,34,26,Low
Resting,0.006,Low,43.6,40_to_60,First-Time,Noon,105.2,14,25,Low
Prayer,0.067,Low,40.1,Above_60,Experienced,Afternoon,26.6,17,95,Low
Prayer,0.061,High,47.1,40_to_60,Experienced,Fajr,23.4,14,82,High
Walking,0.953,High,42.9,40_to_60,First-Time,Night,17.3,35,41,Low
Prayer,0.022,High,41.3,40_to_60,First-Time,Afternoon,12.0,48,34,Medium
Walking,0.659,Medium,37.1,40_to_60,Experienced,Maghrib,8.8,41,80,Low
Walking,0.801,Medium,46.6,40_to_60,First-Time,Morning,18.3,29,30,Medium
Walking,0.567,Medium,42.3,40_to_60,First-Time,Afternoon,13.3,33,12,Medium
Prayer,0.007,Low,42.3,Above_60,Experienced,Noon,14.2,25,55,Low
Sai,0.862,High,38.6,40_to_60,Experienced,Morning,88.5,19,54,Low
Prayer,0.057,High,45.6,40_to_60,First-Time,Maghrib,27.2,46,77,High
Tawaf,0.499,Medium,37.5,40_to_60,Experienced,Maghrib,55.8,15,23,Low
Resting,0.088,Medium,33.2,40_to_60,Experienced,Fajr,106.5,38,67,Low
Prayer,0.032,Medium,39.2,40_to_60,First-Time,Noon,11.2,15,51,Low
Sai,0.945,High,43.4,40_to_60,First-Time,Morning,49.5,49,94,Low
Tawaf,0.506,Low,43.4,40_to_60,First-Time,Afternoon,86.9,12,90,Medium
Walking,0.642,High,42.6,40_to_60,Experienced,Afternoon,22.2,38,30,Low
Walking,0.989,Low,41.3,40_to_60,Experienced,Afternoon,24.1,45,86,Low
Prayer,0.012,Low,42.6,40_to_60,First-Time,Morning,26.7,30,8,Low
Tawaf,0.774,High,52.0,Under_40,Experienced,Morning,33.2,25,84,Medium
Prayer,0.009,High,43.0,Under_40,Experienced,Maghrib,24.4,28,41,Medium
Prayer,0.094,High,40.3,Above_60,First-Time,Night,17.1,36,95,Medium
Walking,1.083,Medium,41.6,Under_40,First-Time,Night,25.5,22,36,Low
Walking,0.976,Low,41.2,40_to_60,Experienced,Maghrib,14.7,48,65,Low
Prayer,0.091,Low,42.3,40_to_60,First-Time,Fajr,25.4,30,33,Low
Sai,0.897,Medium,38.4,Under_40,Experienced,Morning,85.6,45,68,Low
Resting,0.053,High,45.2,40_to_60,First-Time,Afternoon,50.6,20,7,High
Prayer,0.025,High,43.2,Above_60,First-Time,Morning,19.4,45,8,High
Walking,0.671,Medium,38.8,Above_60,Experienced,Noon,18.4,41,69,Low
Tawaf,0.455,High,46.1,Above_60,Experienced,Night,71.3,24,14,High
Walking,0.903,Medium,34.4,Under_40,Experienced,Fajr,26.1,19,30,Low
Tawaf,0.314,Low,50.6,40_to_60,First-Time,Night,42.6,8,93,Medium
Walking,0.768,Medium,49.5,40_to_60,First-Time,Fajr,28.6,44,44,Medium
Resting,0.074,Medium,48.9,Above_60,First-Time,Noon,97.5,20,25,High
Prayer,0.061,High,40.0,40_to_60,Experienced,Afternoon,12.8,16,83,Medium
Tawaf,0.793,High,43.0,40_to_60,First-Time,Noon,50.2,39,34,Medium
Tawaf,0.559,High,39.5,40_to_60,Experienced,Night,45.1,30,60,Low
Prayer,0.043,Low,43.7,40_to_60,First-Time,Afternoon,13.2,13,31,Low
Sai,1.058,High,42.1,40_to_60,First-Time,Maghrib,74.0,20,97,Low
Tawaf,0.692,Medium,40.2,Under_40,First-Time,Maghrib,33.9,19,54,Low
Walking,0.55,Medium,40.1,40_to_60,Experienced,Maghrib,20.0,24,71,Low
Prayer,0.096,Low,42.3,40_to_60,First-Time,Night,26.6,7,20,Low
Prayer,0.042,Medium,52.0,40_to_60,First-Time,Noon,17.2,9,25,Medium
Resting,0.094,High,47.2,40_to_60,First-Time,Night,66.4,44,47,High
Tawaf,0.787,High,42.3,Above_60,Experienced,Afternoon,38.6,43,81,Medium
Resting,0.281,Low,41.3,Above_60,Experienced,Afternoon,90.6,17,93,Low
Prayer,0.064,High,44.5,Above_60,Experienced,Morning,28.2,47,71,High
Resting,0.006,Low,39.5,40_to_60,First-Time,Morning,91.9,33,90,Low
Walking,1.024,High,41.1,40_to_60,First-Time,Afternoon,8.1,50,82,Low
Resting,0.101,High,34.2,Under_40,First-Time,Morning,51.3,11,50,Low
Resting,0.116,Low,42.4,40_to_60,Experienced,Afternoon,33.2,12,31,Low
Prayer,0.016,High,42.5,40_to_60,First-Time,Afternoon,21.8,31,27,High
Resting,0.157,High,39.8,40_to_60,Experienced,Morning,90.9,13,73,Low
Prayer,0.074,High,43.8,40_to_60,First-Time,Afternoon,29.5,36,6,High
Prayer,0.027,High,42.5,40_to_60,Experienced,Afternoon,20.1,49,87,Medium
Prayer,0.094,Medium,39.9,Under_40,First-Time,Morning,22.7,40,31,Low
Walking,0.636,Medium,45.3,Above_60,First-Time,Noon,7.7,40,14,Medium
Sai,0.846,Medium,41.3,40_to_60,First-Time,Noon,52.0,42,94,Low
Walking,0.951,Medium,37.8,Under_40,First-Time,Afternoon,10.8,48,70,Low
Walking,1.095,Medium,35.0,40_to_60,Experienced,Maghrib,6.4,43,24,Low
Walking,1.167,Low,47.7,Under_40,Experienced,Fajr,15.2,15,53,Low
Resting,0.23,High,42.5,40_to_60,First-Time,Morning,114.9,40,42,Medium
Prayer,0.02,High,42.3,40_to_60,First-Time,Noon,23.1,11,38,Medium
Prayer,0.098,Medium,41.8,40_to_60,First-Time,Maghrib,18.7,43,64,Low
Sai,1.444,High,46.9,40_to_60,First-Time,Afternoon,67.2,25,78,Medium
Sai,0.914,Medium,42.6,Under_40,First-Time,Afternoon,51.6,19,9,Low
Tawaf,0.579,Medium,48.2,40_to_60,First-Time,Noon,35.8,50,80,Medium
Prayer,0.056,High,42.6,Above_60,Experienced,Noon,15.2,28,58,Medium
Prayer,0.044,High,32.0,40_to_60,First-Time,Night,16.1,45,21,Medium
Resting,0.295,Low,47.1,Above_60,First-Time,Night,27.9,27,62,Medium
Walking,0.542,Medium,43.3,40_to_60,First-Time,Maghrib,22.3,13,38,Low
Prayer,0.063,High,40.0,40_to_60,Experienced,Noon,28.5,16,37,Medium
Walking,0.644,Medium,41.0,40_to_60,First-Time,Afternoon,9.4,12,26,Low
Tawaf,0.564,Medium,40.8,Above_60,First-Time,Afternoon,80.3,26,99,Medium
Prayer,0.078,Low,37.0,40_to_60,First-Time,Noon,16.0,38,90,Low
Walking,0.673,Low,45.5,Above_60,Experienced,Afternoon,20.2,24,51,Medium
Walking,0.775,Medium,40.2,40_to_60,First-Time,Morning,7.2,47,8,Low
Prayer,0.095,High,38.5,40_to_60,Experienced,Fajr,14.8,36,40,Low
Resting,0.228,High,52.0,Under_40,First-Time,Morning,31.6,17,43,Medium
Resting,0.172,High,37.4,Under_40,Experienced,Maghrib,31.9,43,44,Low
Walking,0.655,Low,41.6,Under_40,Experienced,Morning,28.3,24,73,Low
Walking,0.798,Low,32.8,40_to_60,Experienced,Night,14.1,12,18,Low
Walking,1.042,High,47.0,40_to_60,Experienced,Noon,9.9,10,21,Medium
Sai,1.374,Medium,40.9,40_to_60,First-Time,Morning,52.7,39,58,Low
Prayer,0.024,Medium,45.3,Above_60,First-Time,Maghrib,23.5,37,79,Medium
Tawaf,0.631,High,38.2,Above_60,Experienced,Noon,73.1,29,97,Medium
Walking,0.567,Medium,35.5,Under_40,First-Time,Noon,29.5,18,71,Low
Walking,0.516,Low,39.0,Under_40,First-Time,Noon,20.7,37,74,Low
Sai,1.184,High,47.4,40_to_60,Experienced,Noon,65.6,44,88,Medium
Resting,0.067,High,44.3,Under_40,First-Time,Afternoon,38.5,20,79,High
Resting,0.024,Low,35.5,Under_40,First-Time,Afternoon,19.1,42,100,Low
Walking,1.011,High,32.3,40_to_60,Experienced,Noon,27.0,45,35,Low
Walking,0.849,Medium,40.7,40_to_60,Experienced,Noon,24.7,42,38,Low
Resting,0.239,Medium,46.4,Above_60,Experienced,Morning,98.6,7,76,Medium
Tawaf,0.632,High,39.0,Above_60,First-Time,Maghrib,49.3,42,10,Medium
Walking,1.011,High,46.3,40_to_60,First-Time,Night,13.9,14,20,Medium
Tawaf,0.454,High,42.5,Above_60,Experienced,Maghrib,77.0,49,7,Medium
Walking,0.684,Low,49.0,Under_40,Experienced,Noon,22.2,37,44,Medium
Prayer,0.06,High,39.3,Above_60,First-Time,Night,23.0,20,54,Medium
Resting,0.06,Medium,41.8,40_to_60,Experienced,Afternoon,73.2,35,65,Low
Resting,0.245,Low,39.4,Above_60,First-Time,Maghrib,53.7,48,33,Low
Tawaf,0.561,High,45.9,40_to_60,First-Time,Maghrib,74.5,49,35,Medium
Prayer,0.023,High,44.4,40_to_60,First-Time,Maghrib,17.2,29,44,High
Resting,0.188,Medium,35.2,40_to_60,Experienced,Afternoon,92.1,18,74,Low
Walking,1.162,Low,44.8,40_to_60,First-Time,Morning,9.8,47,47,Medium
Resting,0.025,High,36.0,Under_40,First-Time,Morning,77.0,50,96,Low
Walking,0.577,Low,38.4,40_to_60,Experienced,Night,13.9,12,92,Low
Prayer,0.084,Medium,45.0,Under_40,First-Time,Morning,26.6,13,18,Low
Prayer,0.011,High,37.0,40_to_60,First-Time,Morning,20.4,17,35,Medium
Sai,0.828,Medium,40.5,Under_40,First-Time,Morning,73.1,18,30,Low
Walking,0.744,Low,45.0,40_to_60,First-Time,Noon,7.1,19,76,Medium
Prayer,0.047,Low,43.7,40_to_60,First-Time,Afternoon,19.9,9,28,Medium
Walking,0.899,Medium,43.4,40_to_60,Experienced,Afternoon,24.5,43,69,Low
Walking,0.855,Medium,45.2,Above_60,First-Time,Maghrib,26.5,17,14,Medium
Walking,1.139,High,47.2,Above_60,Experienced,Fajr,23.0,7,62,Medium
Resting,0.231,Medium,37.0,40_to_60,Experienced,Morning,59.0,37,100,Low
Resting,0.295,Medium,43.3,Under_40,Experienced,Afternoon,42.0,23,67,Low
Prayer,0.048,High,45.9,Under_40,Experienced,Morning,17.8,35,12,Medium
Resting,0.025,Medium,45.1,Above_60,Experienced,Night,74.0,36,56,Medium
Walking,1.169,High,41.4,40_to_60,Experienced,Afternoon,5.1,6,23,Low
Walking,0.503,Low,41.1,40_to_60,First-Time,Afternoon,27.8,20,80,Low
Resting,0.233,Medium,45.3,40_to_60,First-Time,Fajr,51.1,9,83,Low
Sai,0.822,Low,42.9,Above_60,Experienced,Night,80.9,42,45,Medium
Tawaf,0.681,Medium,46.4,Above_60,Experienced,Noon,62.1,34,50,Medium
Resting,0.281,High,42.4,Above_60,First-Time,Afternoon,84.5,22,15,High
Prayer,0.039,High,40.5,Above_60,Experienced,Afternoon,25.2,40,49,Medium
Resting,0.072,High,34.9,40_to_60,First-Time,Night,45.2,45,57,Low
Resting,0.068,Medium,41.1,40_to_60,First-Time,Morning,78.6,42,21,Low
Tawaf,0.546,High,37.1,40_to_60,First-Time,Fajr,75.1,32,32,Medium
Resting,0.051,High,34.7,Under_40,First-Time,Morning,95.9,37,18,Low
Prayer,0.067,High,38.5,Under_40,First-Time,Maghrib,18.3,6,28,Medium
Walking,0.758,Low,44.8,40_to_60,First-Time,Morning,23.2,6,48,Low
Walking,0.726,Medium,41.0,40_to_60,First-Time,Afternoon,12.5,36,89,Low
Resting,0.138,Low,42.7,40_to_60,First-Time,Maghrib,28.0,16,42,Low
Tawaf,0.571,Medium,44.7,Above_60,Experienced,Maghrib,36.8,43,27,Medium
Walking,0.599,Medium,41.9,40_to_60,First-Time,Noon,17.6,10,75,Low
Walking,0.995,High,39.2,Above_60,Experienced,Afternoon,14.6,19,52,Low
Walking,1.118,Medium,40.2,40_to_60,Experienced,Night,10.8,36,59,Low
Walking,0.695,High,45.1,40_to_60,Experienced,Fajr,14.8,49,95,Low
Tawaf,0.39,High,41.9,40_to_60,First-Time,Afternoon,54.7,49,93,Medium
Prayer,0.076,High,32.0,Under_40,Experienced,Afternoon,21.1,19,36,Medium
Prayer,0.018,High,40.6,Under_40,First-Time,Morning,11.2,14,73,Low
Walking,0.529,Medium,44.1,Under_40,First-Time,Noon,27.7,19,12,Medium
Prayer,0.062,Medium,42.7,40_to_60,Experienced,Maghrib,17.4,37,25,Low
Sai,0.968,Medium,37.9,40_to_60,Experienced,Afternoon,72.7,43,100,Low
Resting,0.052,Medium,39.0,40_to_60,First-Time,Fajr,47.2,39,32,Low
Tawaf,0.791,High,34.2,40_to_60,First-Time,Night,75.7,16,71,Medium
Resting,0.088,Medium,44.2,Above_60,First-Time,Afternoon,63.2,41,40,Medium
Walking,1.132,Medium,44.5,Under_40,First-Time,Noon,13.0,39,97,Medium
Resting,0.053,High,41.5,Above_60,First-Time,Maghrib,116.2,8,52,Medium
Prayer,0.082,Low,40.6,Under_40,Experienced,Morning,27.3,14,29,Low
Tawaf,0.551,Medium,37.7,Above_60,Experienced,Morning,40.8,24,36,Low
Walking,0.555,High,43.3,40_to_60,Experienced,Morning,22.5,47,89,Low
Resting,0.22,Low,35.4,Above_60,First-Time,Noon,94.2,35,29,Low
Walking,1.124,Medium,45.1,Under_40,First-Time,Night,5.9,35,72,Low
Tawaf,0.382,High,44.3,Above_60,First-Time,Noon,87.7,35,88,High
Walking,1.008,High,46.7,Above_60,Experienced,Morning,10.8,24,85,Medium
Walking,0.812,Medium,42.2,40_to_60,First-Time,Maghrib,27.7,13,46,Low
Walking,1.028,Medium,39.9,40_to_60,Experienced,Night,21.4,17,70,Low
Walking,1.0,Medium,43.7,Under_40,Experienced,Morning,17.8,41,21,Low
Resting,0.008,Low,45.1,40_to_60,Experienced,Maghrib,97.5,45,17,Low
Walking,0.625,Low,37.4,40_to_60,First-Time,Noon,21.9,28,48,Low
Tawaf,0.536,Medium,41.7,40_to_60,Experienced,Morning,74.4,29,81,Low
Walking,1.154,Medium,43.1,Under_40,First-Time,Noon,26.4,34,68,Low
Tawaf,0.471,High,43.9,40_to_60,First-Time,Fajr,58.3,28,38,Medium
Prayer,0.063,High,40.6,40_to_60,First-Time,Night,18.5,13,72,Medium
Prayer,0.001,Medium,44.5,40_to_60,First-Time,Night,28.0,33,55,Low
Tawaf,0.656,Medium,38.2,40_to_60,First-Time,Afternoon,77.9,14,60,Medium
Prayer,0.06,High,50.1,40_to_60,First-Time,Noon,10.4,18,19,High
Tawaf,0.658,High,39.5,Under_40,Experienced,Morning,69.2,26,95,Low
Walking,1.133,High,43.6,40_to_60,First-Time,Afternoon,27.6,49,60,Medium
Resting,0.044,High,39.8,40_to_60,Experienced,Morning,86.8,16,9,Low
Tawaf,0.431,Low,42.4,40_to_60,Experienced,Noon,63.2,12,59,Low
Resting,0.299,Medium,37.7,40_to_60,First-Time,Fajr,33.5,7,14,Low
Walking,0.609,Medium,46.3,Above_60,First-Time,Noon,28.8,30,89,High
Prayer,0.072,Medium,38.7,Above_60,First-Time,Morning,22.5,24,62,Low
Tawaf,0.663,High,42.3,Above_60,First-Time,Fajr,36.1,21,28,Medium
Walking,0.978,Low,41.7,Under_40,First-Time,Noon,28.2,35,25,Low
Walking,0.659,Medium,39.2,40_to_60,First-Time,Afternoon,17.9,17,38,Low
Walking,0.651,Low,32.0,40_to_60,First-Time,Noon,8.9,46,99,Low
Tawaf,0.633,High,46.2,Above_60,Experienced,Morning,43.6,36,45,High
Tawaf,0.393,High,42.6,40_to_60,First-Time,Fajr,88.1,10,84,High
Prayer,0.066,Medium,35.0,Above_60,Experienced,Morning,18.7,36,31,Low
Prayer,0.049,Low,34.3,40_to_60,First-Time,Maghrib,18.4,36,90,Low
Sai,1.071,High,40.7,Above_60,First-Time,Fajr,66.9,47,67,Low
Prayer,0.03,High,41.7,Under_40,First-Time,Night,24.0,36,68,Low
Walking,1.163,High,41.1,40_to_60,Experienced,Maghrib,14.1,5,72,Low
